Name;Episode;Step;RecircArea
Simu_maxF1.0_NbAct50_area;0;0;0.0352724
Simu_maxF1.0_NbAct50_area;0;0;0.0352724
Simu_maxF1.0_NbAct50_area;1;0;0.0352724
Simu_maxF1.0_NbAct50_area;1;100;0.0359951
Simu_maxF1.0_NbAct50_area;1;200;0.0367955
Simu_maxF1.0_NbAct50_area;1;300;0.0345725
Simu_maxF1.0_NbAct50_area;1;400;0.0273329
Simu_maxF1.0_NbAct50_area;1;500;0.0332631
Simu_maxF1.0_NbAct50_area;1;600;0.0391016
Simu_maxF1.0_NbAct50_area;1;700;0.0368365
Simu_maxF1.0_NbAct50_area;1;800;0.0370699
Simu_maxF1.0_NbAct50_area;1;900;0.0358041
Simu_maxF1.0_NbAct50_area;1;1000;0.0381504
Simu_maxF1.0_NbAct50_area;1;1100;0.030988
Simu_maxF1.0_NbAct50_area;1;1200;0.0368409
Simu_maxF1.0_NbAct50_area;1;1300;0.0316368
Simu_maxF1.0_NbAct50_area;1;1400;0.0375579
Simu_maxF1.0_NbAct50_area;1;1500;0.0340608
Simu_maxF1.0_NbAct50_area;1;1600;0.0394272
Simu_maxF1.0_NbAct50_area;1;1700;0.0378019
Simu_maxF1.0_NbAct50_area;1;1800;0.0339221
Simu_maxF1.0_NbAct50_area;1;1900;0.0375367
Simu_maxF1.0_NbAct50_area;1;2000;0.0407232
Simu_maxF1.0_NbAct50_area;1;2100;0.0420672
Simu_maxF1.0_NbAct50_area;1;2200;0.0417601
Simu_maxF1.0_NbAct50_area;1;2300;0.0338235
Simu_maxF1.0_NbAct50_area;1;2400;0.0493463
Simu_maxF1.0_NbAct50_area;1;2500;0.0331826
Simu_maxF1.0_NbAct50_area;1;2600;0.0343179
Simu_maxF1.0_NbAct50_area;1;2700;0.0374993
Simu_maxF1.0_NbAct50_area;1;2800;0.0371414
Simu_maxF1.0_NbAct50_area;1;2900;0.0390499
Simu_maxF1.0_NbAct50_area;1;3000;0.0376156
Simu_maxF1.0_NbAct50_area;1;3100;0.0407314
Simu_maxF1.0_NbAct50_area;1;3200;0.0143169
Simu_maxF1.0_NbAct50_area;1;3300;0.0395338
Simu_maxF1.0_NbAct50_area;1;3400;0.0386016
Simu_maxF1.0_NbAct50_area;1;3500;0.0348682
Simu_maxF1.0_NbAct50_area;1;3600;0.0387199
Simu_maxF1.0_NbAct50_area;1;3700;0.0456211
Simu_maxF1.0_NbAct50_area;1;3800;0.0362552
Simu_maxF1.0_NbAct50_area;1;3900;0.0305961
Simu_maxF1.0_NbAct50_area;1;0;0.0352724
Simu_maxF1.0_NbAct50_area;2;0;0.0352724
Simu_maxF1.0_NbAct50_area;2;100;0.031164
Simu_maxF1.0_NbAct50_area;2;200;0.0361433
Simu_maxF1.0_NbAct50_area;2;300;0.0376833
Simu_maxF1.0_NbAct50_area;2;400;0.0354261
Simu_maxF1.0_NbAct50_area;2;500;0.0398005
Simu_maxF1.0_NbAct50_area;2;600;0.0354484
Simu_maxF1.0_NbAct50_area;2;700;0.0430938
Simu_maxF1.0_NbAct50_area;2;800;0.0315257
Simu_maxF1.0_NbAct50_area;2;900;0.00855224
Simu_maxF1.0_NbAct50_area;2;1000;0.0353151
Simu_maxF1.0_NbAct50_area;2;1100;0.0278103
Simu_maxF1.0_NbAct50_area;2;1200;0.0671156
Simu_maxF1.0_NbAct50_area;2;1300;0.0302802
Simu_maxF1.0_NbAct50_area;2;1400;0.0280396
Simu_maxF1.0_NbAct50_area;2;1500;0.0349497
Simu_maxF1.0_NbAct50_area;2;1600;0.0385885
Simu_maxF1.0_NbAct50_area;2;1700;0.040893
Simu_maxF1.0_NbAct50_area;2;1800;0.0393071
Simu_maxF1.0_NbAct50_area;2;1900;0.0370287
Simu_maxF1.0_NbAct50_area;2;2000;0.0318554
Simu_maxF1.0_NbAct50_area;2;2100;0.037233
Simu_maxF1.0_NbAct50_area;2;2200;0.0369343
